date,location,new_cases,new_deaths,total_cases,total_deaths
2020-02-27,Denmark,,,1,
2020-02-28,Denmark,0,,1,
2020-02-29,Denmark,1,,2,
2020-03-01,Denmark,1,,3,
2020-03-02,Denmark,1,,4,
2020-03-03,Denmark,1,,5,
2020-03-04,Denmark,3,,8,
2020-03-05,Denmark,2,,10,
2020-03-06,Denmark,8,,18,
2020-03-07,Denmark,5,,23,
2020-03-08,Denmark,8,,31,
2020-03-09,Denmark,5,,36,
2020-03-10,Denmark,54,,90,
2020-03-11,Denmark,172,,262,
